manufacturer,name,index,fitting_cross
Rodenstock,Progressiv Start 2,4 mm,,
Rodenstock,Progressiv SI,4 mm,,
Rodenstock,Progressiv AT,4 mm,,
Rodenstock,Progressiv Life,4 mm,,
Rodenstock,Progressiv Life XS,4 mm,,
Rodenstock,Impression ILT,0 mm,,
